,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,vont,will
26,26,pendant,while
27,27,revoir,meet again
28,28,aucune,any
29,29,parle,speak
30,30,savais,knew
31,31,étaient,were
32,32,voici,here is
33,33,pourrais,could
34,34,affaire,case
35,35,donner,give
36,36,type,type
37,37,leurs,their
38,38,donné,given
39,39,train,train
40,40,corps,body
41,41,endroit,place
42,42,yeux,eyes
43,43,façon,way
44,46,trouve,find
45,47,premier,first
46,48,perdu,lost
47,49,main,hand
48,50,première,first
49,51,côté,side
50,52,pouvoir,power
51,53,vieux,old
52,54,sois,be
53,55,tiens,here
54,56,matin,morning
55,57,tellement,so much
56,58,enfant,child
57,59,point,point
58,60,venu,came
59,61,suite,after
60,62,pardon,sorry
61,63,venez,come
62,64,devant,in front of
63,65,vers,towards
64,66,minutes,minutes
65,67,demandé,request
66,68,chambre,bedroom
67,69,mis,placed
68,70,belle,beautiful
69,71,droit,law
70,72,aimerais,would like to
71,73,aujourd'hui,today
72,74,mari,husband
73,75,enfin,finally
74,76,espère,hope
75,77,eau,water
76,78,attendez,Wait
77,79,parti,left
78,80,nouvelle,new
79,81,arrêter,Stop
80,82,dirait,would say
81,83,terre,Earth
82,84,compte,account
83,85,donne,given
84,86,fin,end
85,87,croire,believe
86,88,chérie,sweetheart
87,89,gros,large
88,90,plutôt,rather
89,91,aura,will have
90,92,filles,girls
91,93,jouer,to play
92,94,bureau,office
